,Rata-rata IPK,"Seberapa sering kamu menggunakan AI (ChatGPT, Copilot, Gemini, dll.) untuk belajar  ",Berapa persen tugas/pekerjaan kuliahmu yang biasanya melibatkan bantuan AI?  ,Seberapa sering kamu memverifikasi kebenaran jawaban AI sebelum menggunakannya?  ,Seberapa percaya kamu dengan hasil AI dibanding sumber resmi (buku/jurnal/dosen)?,Apakah kamu pernah merasa jawaban AI menyesatkan atau salah besar dalam belajar?,Seberapa sering kamu mengecek pemahaman setelah selesai belajar (misalnya mengulang/mencoba soal)? ,Apakah kamu merasa AI membantu kamu lebih disiplin/terarah dalam belajar?,Seberapa cemas kamu jika suatu hari akses AI dibatasi/dilarang?,"Menurutmu, penggunaan AI membuatmu lebih termotivasi atau lebih malas untuk belajar mandiri? 
(semakin banyak bintang semakin memotivasi)","Seberapa besar kamu merasa AI membantu dalam meningkatkan kualitas hasil belajar (nilai, pemahaman, keterampilan)?",Brainstorming ide,Coding / teknis,Menulis esai / laporan,Ringkasan materi,Jenis Kelamin_Laki - laki,Jenis Kelamin_Perempuan
81,1,5,2,4,3.0,2,3.0,3.0,4.0,4.0,4.0,1,1,0,0,False,True
82,1,5,1,5,3.0,1,4.0,5.0,3.0,3.0,4.0,0,0,1,0,False,True
83,1,5,2,5,3.0,0,5.0,4.0,4.0,4.0,4.0,1,1,0,1,False,True
84,2,4,1,4,3.0,0,4.0,3.0,3.0,2.0,4.0,0,1,0,1,True,False
85,1,5,2,4,3.0,2,3.0,2.0,5.0,2.0,5.0,1,1,1,1,False,True
86,1,4,1,5,3.0,0,4.0,3.0,2.0,4.0,4.0,1,1,1,1,False,True
87,1,4,2,4,4.0,0,4.0,4.0,3.0,4.0,4.0,1,1,0,1,True,False
88,1,5,1,3,4.0,0,4.0,3.0,4.0,3.0,3.0,1,1,0,1,True,False
89,1,4,1,4,3.0,1,4.0,4.0,3.0,3.0,3.0,1,1,1,1,True,False
90,1,5,2,4,4.0,0,5.0,5.0,4.0,4.0,4.0,1,1,1,1,False,True
91,0,3,2,3,3.0,0,3.0,3.0,3.0,3.0,3.0,1,1,1,1,True,False
92,2,4,1,5,2.0,2,4.0,4.0,4.0,5.0,3.0,1,1,0,0,True,False
93,2,5,2,4,4.0,0,3.0,2.0,1.0,1.0,3.0,0,1,1,1,True,False
94,1,4,1,2,2.0,0,4.0,4.0,3.0,4.0,4.0,1,1,0,0,True,False
95,1,4,1,4,2.0,0,5.0,5.0,4.0,4.0,4.0,1,0,0,1,False,True
96,0,5,2,5,3.0,2,4.0,5.0,5.0,4.0,4.0,1,1,1,0,True,False
97,1,5,2,5,3.0,2,5.0,2.0,3.0,2.0,3.0,1,1,1,1,False,True
98,1,5,2,4,4.0,0,3.0,4.0,5.0,5.0,5.0,0,1,0,1,False,True
99,1,4,1,4,3.0,0,5.0,5.0,5.0,2.0,4.0,1,1,1,1,True,False
100,2,5,2,3,3.0,0,2.0,4.0,5.0,4.0,5.0,1,1,1,1,True,False
101,1,5,2,3,3.0,0,4.0,3.0,5.0,5.0,4.0,1,1,1,1,True,False
102,0,3,0,5,2.0,0,4.0,3.0,2.0,3.0,3.0,1,0,0,0,True,False
103,0,5,2,4,3.0,0,3.0,3.0,5.0,4.0,4.0,0,1,0,0,False,True
104,1,4,2,4,3.0,0,3.0,2.0,3.0,4.0,4.0,1,0,1,1,True,False
105,1,4,1,5,3.0,0,5.0,4.0,3.0,5.0,4.0,1,0,0,0,True,False
106,1,5,2,4,4.0,0,4.0,4.0,4.0,5.0,4.0,1,1,1,1,True,False
107,1,5,2,2,4.0,2,1.0,3.0,5.0,1.0,2.0,0,1,0,0,True,False
